ToolName,ModelName,Strength,TimeSeconds,Size,ErrorType
caopt,UNIFORM_BOOLEAN_12,3,10.88,26,
acts,UNIFORM_BOOLEAN_12,3,0.34,30,
cagen,UNIFORM_BOOLEAN_12,3,0.0,32,
kali,UNIFORM_BOOLEAN_12,3,2.34,36,
medici,UNIFORM_BOOLEAN_12,3,2.99,28,
pmedici,UNIFORM_BOOLEAN_12,3,2.17,43,
caopt,MCAC_6,3,293.41,1519,
acts,MCAC_6,3,1.26,1578,
cagen,MCAC_6,3,0.05,1513,
kali,MCAC_6,3,3.53,6,Invalid
pmedici,MCAC_6,3,28.54,1634,
caopt,MCA_21,3,295.96,4328,
acts,MCA_21,3,0.81,2777,
cagen,MCA_21,3,0.06,2776,
kali,MCA_21,3,74.93,3841,Invalid
pmedici,MCA_21,3,59.19,3590,
caopt,UNIFORM_BOOLEAN_2,3,3.98,22,
acts,UNIFORM_BOOLEAN_2,3,0.31,27,
cagen,UNIFORM_BOOLEAN_2,3,0.0,26,
kali,UNIFORM_BOOLEAN_2,3,2.34,34,
medici,UNIFORM_BOOLEAN_2,3,3.14,24,
pmedici,UNIFORM_BOOLEAN_2,3,2.04,35,
caopt,UNIFORM_BOOLEAN_5,3,2.96,21,
acts,UNIFORM_BOOLEAN_5,3,0.32,26,
cagen,UNIFORM_BOOLEAN_5,3,0.0,24,
kali,UNIFORM_BOOLEAN_5,3,2.29,35,
medici,UNIFORM_BOOLEAN_5,3,2.23,23,
pmedici,UNIFORM_BOOLEAN_5,3,2.0,32,
caopt,NUMC_3,3,297.24,8405,
acts,NUMC_3,3,4.38,5923,
cagen,NUMC_3,3,0.41,5824,
kali,NUMC_3,3,301.0,0,Timeout
medici,NUMC_3,3,4.49,121,Invalid
caopt,MCA_1,3,296.46,5997,
acts,MCA_1,3,1.16,3315,
cagen,MCA_1,3,0.12,3302,
kali,MCA_1,3,179.9,4778,Invalid
pmedici,MCA_1,3,181.74,4619,
caopt,MCA_6,3,293.56,2365,
acts,MCA_6,3,0.66,2199,
cagen,MCA_6,3,0.02,2200,
