ToolName,ModelName,Strength,TimeSeconds,Size,ErrorType
pmedici,BOOLC_31,2,1.9,12,Invalid
cagen,BOOLC_31,2,0.78,6,
appts,BOOLC_31,2,12.58,5,
pmedici,UNIFORM_BOOLEAN_5,2,1.94,11,
iposolver,UNIFORM_BOOLEAN_5,2,0.0,9,
cagen,UNIFORM_BOOLEAN_5,2,0.0,10,
appts,UNIFORM_BOOLEAN_5,2,12.26,7,
pmedici,UNIFORM_ALL_18,2,3.44,305,
iposolver,UNIFORM_ALL_18,2,0.07,216,
cagen,UNIFORM_ALL_18,2,0.0,211,
appts,UNIFORM_ALL_18,2,85.79,169,
pmedici,UNIFORM_BOOLEAN_2,2,1.81,11,
iposolver,UNIFORM_BOOLEAN_2,2,0.0,11,
cagen,UNIFORM_BOOLEAN_2,2,0.0,10,
appts,UNIFORM_BOOLEAN_2,2,13.04,8,
pmedici,UNIFORM_BOOLEAN_43,2,1.89,12,
iposolver,UNIFORM_BOOLEAN_43,2,0.0,11,
cagen,UNIFORM_BOOLEAN_43,2,0.0,10,
appts,UNIFORM_BOOLEAN_43,2,12.16,8,
pmedici,MCAC_39,2,1.92,16,Invalid
cagen,MCAC_39,2,0.01,7,
appts,MCAC_39,2,3.08,7,
pmedici,UNIFORM_BOOLEAN_16,2,1.89,17,
iposolver,UNIFORM_BOOLEAN_16,2,0.0,9,
cagen,UNIFORM_BOOLEAN_16,2,0.0,8,
appts,UNIFORM_BOOLEAN_16,2,11.5,6,
pmedici,UNIFORM_BOOLEAN_12,2,1.89,11,
iposolver,UNIFORM_BOOLEAN_12,2,0.0,9,
cagen,UNIFORM_BOOLEAN_12,2,0.0,10,
appts,UNIFORM_BOOLEAN_12,2,13.98,7,
pmedici,MCA_32,2,6.88,1687,
iposolver,MCA_32,2,0.03,1628,
cagen,MCA_32,2,0.01,1628,
appts,MCA_32,2,41.3,1628,
pmedici,UNIFORM_BOOLEAN_47,2,1.88,12,
iposolver,UNIFORM_BOOLEAN_47,2,0.0,9,
cagen,UNIFORM_BOOLEAN_47,2,0.0,8,
appts,UNIFORM_BOOLEAN_47,2,11.34,6,
pmedici,BOOLC_35,2,1.84,10,Invalid
cagen,BOOLC_35,2,0.0,6,
appts,BOOLC_35,2,9.53,6,
pmedici,UNIFORM_ALL_31,2,1.86,13,
iposolver,UNIFORM_ALL_31,2,0.0,9,
cagen,UNIFORM_ALL_31,2,0.0,10,
appts,UNIFORM_ALL_31,2,12.12,7,
pmedici,UNIFORM_ALL_48,2,1.85,42,
iposolver,UNIFORM_ALL_48,2,0.0,32,
cagen,UNIFORM_ALL_48,2,0.0,25,
appts,UNIFORM_ALL_48,2,13.92,25,
pmedici,MCAC_19,2,2.24,345,Invalid
cagen,MCAC_19,2,0.02,345,
appts,MCAC_19,2,3.16,345,
pmedici,MCA_43,2,15.93,2701,
iposolver,MCA_43,2,0.1,2024,
cagen,MCA_43,2,0.01,1881,
appts,MCA_43,2,41.59,1880,
pmedici,MCAC_14,2,5.05,1050,Invalid
cagen,MCAC_14,2,0.04,989,
appts,MCAC_14,2,38.75,989,
pmedici,UNIFORM_BOOLEAN_33,2,1.79,11,
iposolver,UNIFORM_BOOLEAN_33,2,0.0,11,
cagen,UNIFORM_BOOLEAN_33,2,0.0,10,
appts,UNIFORM_BOOLEAN_33,2,12.9,8,
pmedici,MCAC_41,2,44.73,3062,Invalid
cagen,MCAC_41,2,1.23,2379,
appts,MCAC_41,2,300.15,2127,
pmedici,MCAC_6,2,300.1,0,Timeout
cagen,MCAC_6,2,30.21,718,
appts,MCAC_6,2,198.7,700,
pmedici,MCA_21,2,30.38,2321,
iposolver,MCA_21,2,0.23,1565,
cagen,MCA_21,2,0.02,1556,
appts,MCA_21,2,39.52,1554,
pmedici,MCA_9,2,60.06,4328,
iposolver,MCA_9,2,0.36,2585,
cagen,MCA_9,2,0.02,2350,
appts,MCA_9,2,47.53,2350,
pmedici,BOOLC_13,2,1.9,8,Invalid
cagen,BOOLC_13,2,0.0,7,
appts,BOOLC_13,2,2.58,7,
pmedici,BOOLC_46,2,1.98,28,Invalid
cagen,BOOLC_46,2,0.0,7,
appts,BOOLC_46,2,13.9,7,Invalid
pmedici,UNIFORM_BOOLEAN_19,2,1.85,12,
iposolver,UNIFORM_BOOLEAN_19,2,0.0,9,
cagen,UNIFORM_BOOLEAN_19,2,0.0,10,
appts,UNIFORM_BOOLEAN_19,2,13.07,7,
pmedici,MCAC_34,2,168.21,64,
cagen,MCAC_34,2,300.0,0,Timeout
appts,MCAC_34,2,90.2,64,
pmedici,UNIFORM_ALL_3,2,3.01,332,
iposolver,UNIFORM_ALL_3,2,0.03,219,
cagen,UNIFORM_ALL_3,2,0.0,121,
