ToolName,ModelName,Strength,Iteration,ErrorType,TimeSeconds,Size
pmedici,BOOLC_31,2,3,Invalid,2.09,13
iposolver,UNIFORM_BOOLEAN_5,5,1,,0.11,117
iposolver,UNIFORM_ALL_18,2,1,,0.07,216
cagen,UNIFORM_BOOLEAN_2,2,2,,0.0,10
appts,UNIFORM_BOOLEAN_43,5,1,,300.58,111
appts,MCAC_39,2,2,,3.08,7
appts,UNIFORM_BOOLEAN_16,5,1,,110.43,56
cagen,UNIFORM_BOOLEAN_12,3,1,,0.0,24
iposolver,MCA_32,3,2,,0.4,29335
cagen,UNIFORM_BOOLEAN_47,3,1,,0.0,18
appts,BOOLC_35,3,3,,19.94,10
appts,UNIFORM_ALL_31,3,3,,30.18,15
pmedici,UNIFORM_ALL_48,3,1,,1.99,171
cagen,MCAC_19,2,3,,0.02,345
cagen,MCA_43,4,1,,11.45,1714679
appts,MCAC_14,3,3,Invalid,300.16,19780
pmedici,UNIFORM_BOOLEAN_33,2,1,,1.79,18
appts,MCAC_41,3,3,Timeout,300.17,0
appts,MCAC_6,4,1,Timeout,300.18,0
appts,MCA_21,2,1,,39.52,1554
appts,MCA_9,3,1,,300.75,103729
cagen,BOOLC_13,3,1,,0.0,9
cagen,BOOLC_46,3,1,,0.0,20
iposolver,UNIFORM_BOOLEAN_19,5,1,,0.14,125
cagen,MCAC_34,3,2,Timeout,300.0,0
iposolver,UNIFORM_ALL_3,2,2,,0.03,219
appts,BOOLC_2,4,1,,98.23,30
appts,UNIFORM_ALL_49,2,2,,74.63,161
appts,BOOLC_18,2,2,,10.12,5
pmedici,UNIFORM_BOOLEAN_6,5,1,,3.1,141
cagen,BOOLC_17,3,3,,0.09,25
iposolver,UNIFORM_ALL_31,3,2,,0.01,22
cagen,UNIFORM_ALL_43,2,2,,0.01,405
cagen,BOOLC_42,3,3,,0.01,6
cagen,UNIFORM_ALL_16,2,2,,0.0,12
appts,MCAC_10,3,1,,300.19,50051
pmedici,UNIFORM_BOOLEAN_37,2,3,,1.96,20
appts,MCAC_45,3,1,,300.16,32443
cagen,BOOLC_24,4,2,,0.0,8
appts,MCA_25,2,3,,42.63,1960
pmedici,UNIFORM_ALL_34,2,2,,1.91,41
pmedici,MCA_19,4,1,Timeout,300.03,0
appts,UNIFORM_BOOLEAN_21,2,2,,10.82,6
pmedici,BOOLC_35,2,1,Invalid,1.87,11
iposolver,UNIFORM_BOOLEAN_30,4,2,,0.03,54
iposolver,UNIFORM_ALL_49,2,3,,0.05,208
cagen,MCA_12,4,3,,12.51,1896286
cagen,MCA_47,4,3,,0.02,3800
cagen,MCAC_48,2,1,,19.13,1641
cagen,UNIFORM_BOOLEAN_16,3,3,,0.0,20
appts,BOOLC_31,3,1,,34.48,10
cagen,UNIFORM_BOOLEAN_43,3,3,,0.0,24
appts,UNIFORM_ALL_35,3,1,,300.14,22540
cagen,MCA_21,3,2,,0.57,50966
appts,UNIFORM_BOOLEAN_44,5,1,,74.0,52
appts,UNIFORM_BOOLEAN_11,5,1,,166.98,56
appts,MCA_38,4,1,Timeout,300.9,0
cagen,BOOLC_8,5,1,,0.0,74
